1 NAME|2 ROOM|3 IP|4 OS|5 OS version|6 CATEGORY|7 OWNER|8 AUTHORITY|9 BARCODE|10 DESCRIPTION|11 SPARE1|12 SERIAL NUMBER|13 HOSTID|14 HOST STATUS|15 INVENTORY STATUS|16 FIREWALL|17 TRUSTLEVEL|18 RACKINFO|19 POWER UP|20 SUPPORT TEAM|21 UUID|22 COMMENTS
scan228|CSC228|129.128.23.192|Linux|WPS Ubuntu 16.04|regular|dept|tst|549719|Dell OptiPlex 990||515DJS1||CLEAN|active|OK|||5|WPS|d4c1c4ce-eede-4dc6-af31-c329c1bfe0cb|
scotfield|ATH409|129.128.4.38|Linux|WPS Ubuntu 16.04|regular|dale|dale|586173|Dell OptiPlex 790 i7/2600-8192||7S8XPW1||CLEAN|active||||5||277099c3-ef9f-4c68-8581-1923ba2b6dca|
scovil|CSC251A||Linux|Red Hat 7.2 (Enigma)|regular||paullu|422841|ACS-PIII/700D-512||ACS02392||NA|missing||||5||545c6fc2-458d-4d0d-b0e0-8d4462d57e54|out of service -- does this mean surplus
seba-bch||129.128.23.185||||||||||||retired||||5||ee24d910-ed3f-491a-9774-e87243bcf29e|
sedalia||129.128.4.36||||||||||||retired||||5||1bfd040a-2608-4aa2-a320-300839415d9f|
sedgewick|CSC231|129.128.4.8|Linux|RHEL Server 5.11|regular|dept|carolyn,shauna,rod||Dell PE 860 Xeon 3050/2.13G-2048||6DR6SD1||CLEAN|retired|||A|5|SA1|84f7d8bb-d141-4932-ad8d-2f3dac551728|RHN# 1018141960, former GAPS server
sega|ATH338|129.128.23.139|||unknown|bulitko|bulitko||Xbox One||||NOP|active||||5||3c73a17f-429d-4222-96b9-1da0583aed84|
seiulake|ATH217|129.128.23.37|Linux|WPS Ubuntu 16.04|regular|shauna|shauna,rod|549725|Dell OptiPlex 990||510GJS1||CLEAN|active||||5||9cf3a7d7-1dab-4430-94fa-7b03006d946a|
serv-vcenter|CSC231|129.128.22.60|Linux|Rescue|regular|dept|tst|549631|Dell PE R300 Xeon /2.40Ghz-4096||F419MJ1||CLEAN|retired|||B|5||a4e117ac-f8bc-442c-8097-40e0be9c37e0|to be reused or retired
setup4a||129.128.4.1||||||||||||temp||||5||5078ce3d-485f-4fc3-abf7-5a98b31daf0a|
setup4b||129.128.4.2||||||||||||temp||||5||6a7d3db7-3e5a-4d5f-bdc9-b04058b67df3|
setup4c||129.128.4.4||||||||||||temp||||5||72367bfe-8a5f-4924-a4c9-148117901991|
setup4d||129.128.4.5||||||||||||temp||||5||42d9495d-cb2f-4347-acd3-c7a40a032254|
setup4e||129.128.4.6||||||||||||temp||||5||1359d0e9-84c8-4b2a-b7e6-5aa5b1577475|
setup16a||129.128.16.168||||||||||||temp||||5||be78700f-9a39-429f-a485-5ab98e0e6884|
setup16b||129.128.16.174||||||||||||temp||||5||6a0fb216-e1f7-4232-a603-50b505b0252f|
setup16c||129.128.16.2||||sysadmin||||||||temp||||5||75ed7096-d35f-42e7-a970-ca6358247f82|tmcguire from SA1 needs an IP for 2015-07-07
setup16d||129.128.16.3||||||||||||temp||||5||0838ee6e-87ed-476d-a1df-c45139d8e846|
setup16||129.128.16.1||||||||||||temp||||5||1af4415d-37da-4b44-89e7-045e60154593|
setup22a||129.128.22.1||||||||||||temp||||5||ee3bf662-c163-48fc-a7c0-512e2f08c143|
setup22b||129.128.22.2||||||||||||temp||||5||cde3f6fe-ec1f-4c1d-910c-44d1addf2ad0|
setup22c|CSC139|129.128.22.3||||jmartin||||||||temp||||5||d62ef05c-987a-4d10-9062-5d304dbeb6b1|old vanrena, disk testing
setup22d|fs1|129.128.22.4||||johnb||||||||temp||||5||609ece94-a368-4d25-9ce1-f5aab4147da3|22 route to back up scratch
setup22e||129.128.22.5||||||||||||temp||||5||071cde7e-7a75-4673-8995-38ef9e110118|
setup23a||129.128.23.1||||charles||||||||temp||||5||be138821-114a-4ba7-afef-f314b0813952|Test computer
setup23b||129.128.23.2||||johnb||||||||temp||||5||a0fbed27-5261-4588-a157-278ce11ffeaa|ROG computer CSC 2-25
setup23c||129.128.23.3||||||||||||temp||||5||7d0d1878-21bd-47f1-a281-5a0f67d802e5|
setup23d||129.128.23.4||||||||||||temp||||5||cdf71ba4-ff12-49bc-979f-e7e3b7f0e3e9|
setup23f||129.128.23.6||||||||||||temp||||5||3963f3a6-5de4-4750-930f-d36deded349b|
setup23g||129.128.23.7||||||||||||temp||||5||3045e05b-bad8-4e9d-863f-60b6a27ef562|
setup23s||129.128.23.99||||||||||||temp||||5||09c7b078-eee4-4ee3-b84f-fc6bac8562d5|
setup25a||129.128.25.3||||||||||||temp||||5||3539916a-f124-4e8c-b723-4fccdf48f0da|
setup25b||129.128.25.49||||||||||||temp||||5||204d9fca-75ef-47a1-afaf-b03c5c66c0a2|
setup25c||129.128.25.6||||||||||||temp||||5||a28e6884-b3ff-4426-ae69-8a7f82e34f5f|
setup25d||129.128.25.8||||||||||||temp||||5||42229ce6-f482-488e-ab8f-2a812253e056|
setup25||129.128.25.1||||||||||||temp||||5||076d73e5-430d-43ea-8480-a6bf67e3d338|
sexsmith|CSC327|129.128.25.199|dual-boot|Windows 10 & Ubuntu 16.04|regular||dwishart||Dell XPS 8500 i7-3770 3.4GHz-8192||99LV3V1||CLEAN|active||||5||a5147d93-ade0-49e5-94c0-3fb954e9b4bd|
shaspa-brdg|ATH437A|129.128.184.43|||network|bridge|steve|549636|mdl-0922-000966||0922-000966||CLEAN|missing||||5||7614e267-1579-4d9e-be69-06159e67027e|Switch
sheerness||129.128.4.72||||||||||||temp||||5||b8a9275a-80d3-4c47-a492-afa5eb9a1e43|
skat2|ATH337|129.128.184.141|Linux|Fedora 25|regular|mburo|mburo|no-tag|Core i7 7700K, 32 GB RAM, 500 GB SSD + 1 TB HDD, dual GTX 1070||||NOP|active|OK|||5||edbfa227-e04a-47b3-8c19-cdd0b29979fb|
skat3|ATH337|129.128.184.152|Linux|Fedora 25|regular|mburo|mburo|no-tag|Core i7 7700K, 32 GB RAM, 500 GB SSD + 1 TB HDD, dual GTX 1070||||NOP|active|OK|||5||bf119d9f-bcc4-4a9f-b9dd-e6b5cbfa1547|
skat4|ATH337|129.128.184.153|Linux|Fedora 25|regular|mburo|mburo|no-tag|Core i7 7700K, 32 GB RAM, 500 GB SSD + 1 TB HDD, dual GTX 1070||||NOP|active|OK|||5||f0b03c13-b3d2-448f-bdbc-09e387d24cad|
skat|ATH337|129.128.184.139|Linux|Fedora 25|regular|mburo|mburo|no-tag|Core i7 4790K, 32 GB RAM, 500 GB SSD + 1 TB HDD, Titan X + GTX 1070||||NOP|active|OK|||5||76eabb98-3837-424a-a0fa-02ea75c6e6a2|Also has DNS alias skat1.
smb-home|IST VM|129.128.21.202|Linux|RHEL Server 5.11|virtual|||NA|VM||||CLEAN|active||||5|SA1|f587377e-4c77-4ee7-81cf-621a1e005061|
smithmill|CSC315|129.128.23.209|MacOS|10.6.2|regular|||528790|iMac20/2/66GHz-2048||YM8344X0ZE3||CLEAN|spare||||5||74bd1da3-3d32-4db9-9cc4-7aa441fe923f|In Shop can be redeployed
smr|GSB175|129.128.243.167|Linux|Ubuntu 16.04|regular|nadi|nadi||ASUS PRIME X399-A||170808861101013||CLEAN|active|OK||F17|5|SRIT|206bca9c-d78a-44ef-8bdf-e67d3411c096|Support account: srit
snaring|CSC341|129.128.25.4|Linux|Red Hat 9 (Shrike)|regular|steve|steve||Sempron 2800-1024||ACS05013||CLEAN|active|OK|||5||106052be-1447-4dfd-95e8-9947095373fd|Steve will handle
snipe-lake|CSC251|129.128.23.235|Linux|WPS Ubuntu 16.04|regular||amaral,paullu|586246|BearBones ASUS H87M-Plus i7 4770@3.4GHz-8GB||BB0694||CLEAN|active|OK|||5||f6111050-fdef-43c6-8c38-ca634f8db951|
sonata|CSC211|129.128.23.136|Windows|8.1?|regular|bulitko|bulitko|no-tag|Core i7 980x 3.33GHz, 24 GB RAM||||CLEAN|active|OK|||5||64481c52-e728-45fa-a781-242f497efba0|
so-baptiste|CSC225|129.128.184.71|dual-boot|Ubuntu 16.04 & Windows 10 Enterprise|regular||lin,anup|361518|i7-4790,3600 16Gb||JDBYV52||NOP|active||||5||53bd09dd-1bd4-4fea-ad0b-5105db9bf627|On WW
sparefw1|CSC231||||regular|dept|tst|549746|Dell PE R310||serial-no|||spare||||5||c3a627e0-2ff7-4c0b-9e49-e945804eb968|new-non-production firewall
sparefw2|CSC231||||regular|dept|tst|549747|Dell PE R310||serial-no|||spare||||5||62a48d15-3b92-42c2-addb-cd69291c3f45|new-non-production firewall
sparevpn1|CSC231||||regular|dept|tst|549748|Dell PE R310||serial-no|||spare||||5||30fb1c8c-b2c6-4b34-aaba-e269c36f2665|new-non-production vpn
sparevpn2|CSC231||||regular|dept|tst|549749|Dell PE R310||serial-no|||spare||||5||3db9128b-324b-473d-8b68-0818eec92145|new-non-production vpn
sputina|ATH309|129.128.4.24|MacOS|10.5.4|regular|ehab|ehab|482525|Mac G5||serial-no||CLEAN|active|OK|||5||b51aa999-49a3-4a6e-b751-62beecc9dfc1|
sputinow|BS-CW410|129.128.159.20|MacOS|10.8.2|regular||kenw|586174|"iMac 3.4 GHz i7 27"" 8 GB 1 TB"||C02K25CBDNMP||NOP|active|OK|||5||e94a42b1-15a5-4782-9fb7-477dd92229ce|Moved to BioSci CW 410 as per TASK0077943
sspml|CSC305|129.128.184.41|Linux|Ubuntu 14.04|regular|karami1|ECEdept|545217|ThinkStation-D20||||NOP|active|OK|||5||351cabb1-f207-441d-a7d1-5e814447007b|Regular services-Matlab,C,Python,Julia
ssrg0|melissa|129.128.243.136|||virtual|dwt|stroulia||||||NOP|active||||5||1787a710-1deb-41b5-9233-b7aa6c2949a3|
ssrg1|melissa|129.128.243.137|||virtual|dwt|stroulia||||||NOP|active||||5||534a4630-0d55-486d-a676-12b9501ea8dd|
ssrg2|melissa|129.128.243.138|||virtual|dwt|stroulia||||||NOP|active||||5||db7ad135-fc83-47a0-9979-a6e4ab11b3b8|
ssrg3|melissa|129.128.243.139|||virtual|dwt|stroulia||||||NOP|active||||5||8f121444-ee06-43b5-a803-8d505a6fe9b4|
ssrg4|melissa|129.128.243.140|||virtual|dwt|stroulia||||||NOP|active||||5||ae644624-1c36-43d4-9d19-5c98a162dfde|
ssrg5|melissa|129.128.243.141|||virtual|dwt|stroulia||||||NOP|active||||5||6c89379e-1312-4929-936f-3f0e36896caa|
ssrg6|melissa|129.128.243.142|||virtual|dwt|stroulia||||||NOP|active||||5||da2b4078-1f87-4338-a91a-b3e3a75ac80d|
ssrg7|melissa|129.128.243.143|||virtual|dwt|stroulia||||||NOP|active||||5||cabd826f-6a09-461a-9ae1-ca0a0403ca7a|
ssrg8|melissa|129.128.243.144|||virtual|dwt|stroulia||||||NOP|active||||5||3cd5d8f1-b560-4ad4-a6ea-3b097fe94c61|
ssrg9|melissa|129.128.243.145|||virtual|dwt|stroulia||||||NOP|active||||5||f2960674-a1af-4c0f-9b5a-2a36a9b0b2c9|
ssrg10|melissa|129.128.243.146|||virtual|dwt|stroulia||||||NOP|active||||5||a8d25117-bad4-4c59-8264-1e063716fe69|
ssrg11|melissa|129.128.243.147|||virtual|dwt|stroulia||||||NOP|active||||5||6e9e51a3-a534-4d76-8608-6675460ff13b|
ssrg12|melissa|129.128.243.148|||virtual|dwt|stroulia||||||NOP|active||||5||734e382a-fea6-4bad-9ae3-477f7c038f9a|
ssrg13|melissa|129.128.243.149|||virtual|dwt|stroulia||||||NOP|active||||5||8d48c325-6a8f-4d26-8e64-810d70df0844|
ssrg14|melissa|129.128.243.150|||virtual|dwt|stroulia||||||NOP|active||||5||07c46bb2-e663-486b-a8e2-b87cfc82ba1b|
ssrg15|melissa|129.128.243.151|||virtual|dwt|stroulia||||||NOP|active||||5||e0ae203f-4602-41a5-9f86-adb22b450153|
ssrg16|melissa|129.128.243.152|||virtual|dwt|stroulia||||||NOP|active||||5||3ca081fc-0b55-48ad-ba90-043795a76203|
ssrg17|melissa|129.128.243.153|||virtual|dwt|stroulia||||||NOP|active||||5||6461ebd5-f837-429b-b580-2cd84ce7b822|
ssrg18|melissa|129.128.243.154|||virtual|dwt|stroulia||||||NOP|active||||5||91151c9d-e109-4b24-88af-6a842e895d34|
ssrg19|melissa|129.128.243.155|||virtual|dwt|stroulia||||||NOP|active||||5||9d23d79c-dcc1-4e39-9076-d48e6aeac4a6|
ssrg20|melissa|129.128.243.156|||virtual|dwt|stroulia||||||NOP|active||||5||e1cd9e39-05d2-462b-81eb-d7698873f268|
ssrg21|melissa|129.128.243.157|||virtual|dwt|stroulia||||||NOP|active||||5||67f363a6-b1af-460e-b7bd-f64cc18c174c|
ssrg22|melissa|129.128.243.158|||virtual|dwt|stroulia||||||NOP|active||||5||62e303af-8efa-4874-916f-51f4d6fb0952|
ssrg23|melissa|129.128.243.159|||virtual|dwt|stroulia||||||NOP|active||||5||777d145f-b4c7-46e1-b00a-47a538de7854|
ssrg24|melissa|129.128.243.160|||virtual|dwt|stroulia||||||NOP|active||||5||b0bd672d-b780-4d39-9469-8b9f1f362017|
ssrg25|melissa|129.128.243.161|||virtual|dwt|stroulia||||||NOP|active||||5||7e0fdb85-0a68-4069-b4b6-dd7d8f950bf7|
ssrg26|melissa|129.128.243.162|||virtual|dwt|stroulia||||||NOP|active||||5||68c8339c-83bc-4882-8c71-095a88f194dd|
ssrg27|melissa|129.128.243.163|||virtual|dwt|stroulia||||||NOP|active||||5||65c8d50d-6dbe-4da6-b995-ffc201996e7a|
ssrg28|melissa|129.128.243.164|||virtual|dwt|stroulia||||||NOP|active||||5||c40ada0f-5b72-47ea-be36-382a29f50550|
ssrg29|melissa|129.128.243.165|||virtual|dwt|stroulia||||||NOP|active||||5||241f9eb6-9a9e-4cf9-b8e0-d98701a100f3|
stanger|ATH315|129.128.23.16|MacOS|10.5.8|regular|lori|sutton,lori||||serial-no||CLEAN|active|OK|||5||756a9772-900c-41a5-913f-81da0d1a4071|
stanmore|CSC315|129.128.25.31|Linux|WPS Ubuntu 16.04|regular|charles,rick|charles,rick,rod|549752|Dell OptiPlex 990||50Y8JS1||CLEAN|active||||5||43cd5bde-da8f-46c6-a91c-e1eb8b401b21|
steepbank|CSC347|129.128.23.79|Windows|7|regular|mcalvert|zhang|no-tag|Opti/E8400-4096||6SF71J1||CLEAN|active|OK|||5||4be5b22e-32e3-4c69-b0b7-26d1d05caf88|
stettler||129.128.23.63||||||||||||retired||||5||8618f27c-8aad-468e-a52a-d7884e0b73e9|
st-brides|CSC251|129.128.23.21|Linux|Ubuntu 13.04|regular||amaral,paullu,jonathan|no-tag|AMD/PN/9750-4096||ACS06778||CLEAN|active||||5||d8606570-5582-49db-8c3d-dc7f23ee34c5|Moved under Rodolfo Wottrich desk temporarily while en-route to surplus
st-francis|ATH447|129.128.4.50|Linux|Ubuntu 10.04 LTS|regular|hindle1|hindle1|479284|AMD XP/2800-1024||ACS04832||NOP|active||||5||6175e9cd-adb5-4b7d-85c5-a4525d577585|
st-lina|CSC147|129.128.25.108|Windows|7|regular||||XFX 790i Intel Core2Quad X9770@4.00GHz-4G||RC11-140772||CLEAN|active|OK|||5||ce165395-109f-4525-aee0-342204e9a91a|Overclock Settings: CPU 4GHz FSB 1600Hz RAM 2000MHz CPU Core 1.4V FSB 1.3V RAM 1.9V NForce Spp 1.4V Mcp 1.55V XFX Product Code: MB-N790-IUL9 Registration Code:CFOLQBMVPS
sullivan|CSC251|129.128.23.115|Linux|WPS Ubuntu 16.04|regular||amaral,paullu,jonathan|549769|Dell OptiPlex 990||50Z8JS1||CLEAN|active||||5||6abf20f8-6587-420d-bf43-747917c342f8|
summerhaswellii|CSC251|129.128.184.58|Linux|Ubuntu 12.04|regular|mgaudet|amaral||i7-4470||MG-PC2||NOP|active||||5||5fcc02d0-4ac6-4ef3-9f70-fd544a5c7eb5|User Administered
summerhaswell|ATH150|129.128.184.57|Linux|Ubuntu 12.04|regular|mgaudet|amaral||i7-4470||||NOP|active||||5||13f6173d-6e41-485b-8358-191eee9c7724|User Administered
sundog||129.128.4.208||||||||||||surplus||||5||f6180b11-d197-4d12-98cd-0ca2d5c65d8e|
sundre|ATH303|129.128.4.46|Linux|WPS Ubuntu 16.04|regular|mreza|mreza|549701|Dell OptiPlex 990||5159JS1||CLEAN|active||||5||7d904443-85d9-401c-9f93-04326cef002f|
sunflower|Off Campus||Windows|10 Education|regular|dept|sunrose|527275|Optiplex 755, Core 2 Duo E6750, 4 GB RAM, 250 GB HDD||DN5GWG1||CLEAN|active|OK|||5||a6f37285-7b26-4511-ad01-b794b698798c|Sunrose's home computer. Rebuild Sept 25, 2018.
sunnynook|CSC225|129.128.23.198|Windows|10|regular||lin,anup|361519|i7-4790,3600 16Gb||JD5TV52||CLEAN|active|OK|||5||444f5ab5-ee7a-4a97-9c31-b4340c0c9abb|
sunnyslope|ATH305|129.128.23.147|MacOS|10.5.8|regular|kenw|kenw|473223|Mac G5/2GHz-2048||XB34601SNVB||CLEAN|missing|OK|||5||738d1490-4250-40b0-ad7a-a19c9292c6fe|
sunray|CSC351|129.128.184.42|Linux|Ubuntu 14.04|regular|nray1|nray1|604040|i7-4790K @ 4.0 GHz, 32 GB RAM||14232682P||NOP|active||||5||3401d5b4-f696-4350-8312-1e73c370b506|On WW 
sun-creek|CSC211|129.128.23.9|Windows|10|regular|bulitko|bulitko||Ryzen processor, 2x GTX 1070||||CLEAN|active|OK|||5||90159881-ec79-4b90-b80b-282d65668301|New Ryzen processor workstation
swanhills|CSC259B1|129.128.159.21|MacOS|10.8.2|regular||kenw|586175|"iMac 3.4 GHz i7 27"" 8 GB 1 TB"||C02K25CCDNMP||CLEAN|active|OK|||5||6391ca16-1e3b-4b1e-985d-9b5cbe074dfe|
talbot|ATH452|129.128.184.53|Linux|Ubuntu 10.04 LTS|wildwest|legilmou|stroulia||Dell Vostro 460 i7-2600 Quad@3.4GHz-16Gb||3GVY1R1||NOP|active||||5||b4b61ef1-4109-4c18-9541-250c04de3554|User administered, Static IP
tanberg1|CSC363||||network|Tanberg|pierreb|no-tag|codex||23.16077||NA|missing||||5||98326b2f-b534-4fd4-9a7b-1cefe4d0c5fb|missing? not on a research subnet
tanberg2|CSC363||||network|Tanberg|pierreb|no-tag|codex||23.24007||NA|missing||||5||17510cf1-a122-4c96-8dd0-c06e8ff761ec|missing?  not on a research subnet
tawayik|CSC217|129.128.23.102|Linux|WPS Ubuntu 16.04|regular||hayward|512155|i5-6400-24576||ACS05908||CLEAN|active||||5||2945a2c4-5853-418b-9c93-a3d5cfcc4377|new machine old case
tdcs|GSB175|129.128.243.11|Linux|Ubuntu 18.04 LTS|regular|greiner|greiner||SuperMicro||||CLEAN|active|||F16|5|SRIT|447153d3-246c-4fa4-9949-ea0d84092df9|
teepee-crk|CSC217|129.128.23.248|Linux|WPS Ubuntu 16.04|regular||hayward|no-tag|i7/860-16384||1YNLJM1||CLEAN|active||||5||85acd928-5d40-49ac-a20c-12dce92deb25|
tees|CSC329|129.128.4.57|Linux|RHEL Server 5.11|regular||hayward||AMD Opteron/250-4096||ACS05645||CLEAN|retired||T|D|5||e0c6b80b-fa0a-425a-b28f-bb77163e391c|RHN# 1017914937 - there's a note in nagios that this is retired
telehealth|CSC147|129.128.184.59|||unknown||pierreb||||||NOP|active||||5||dec0c57f-7d88-43b7-93d6-ccd14aa4053b|
temp28-0||129.128.28.200||||||||||||temp||||5||529474a9-a177-45fd-8a43-4a017c3b2d8a|
temp28-1||129.128.28.201||||||||||||temp||||5||b5404e80-bd8e-4ed7-b59d-420342136459|
temp28-2|czar|129.128.28.202|||virtual|johnb||||||||temp||||5||a21e29ab-5d53-48da-b7c2-3196b7919f95|ProjectSpark testing
temp28-3||129.128.28.203||||||||||||temp||||5||5f038cbd-4d48-4121-85d8-48ac025f245a|
temp28-4||129.128.28.204||||||||||||temp||||5||e74592b2-2049-41eb-8b44-5750232e7b9e|
temp28-5||129.128.28.205||||||||||||temp||||5||4a9d961c-fb11-4f5e-b8f5-13aed740b3ab|
temp28-6||129.128.28.206||||||||||||temp||||5||675861aa-b260-49c2-96b0-50d1c012e4c9|
temp28-7||129.128.28.207||||||||||||temp||||5||f7120452-78b3-42a0-a9a5-f89e8980666d|
temp28-8||129.128.28.208||||||||||||temp||||5||502b0373-a28f-470e-8c4f-c68ff25fa35b|
temp28-9||129.128.28.209||||||||||||temp||||5||61d33d90-2db9-4327-84d6-22ec5829544a|
temp29-0||129.128.29.200||||||||||||temp||||5||3024bab0-38bb-48a7-8e4f-640635ea1d61|
temp29-1||129.128.29.201||||||||||||temp||||5||b3e2cb85-fef2-4dee-aa7b-5f422e4fbcbe|
temp29-2||129.128.29.202||||||||||||temp||||5||f93502b7-a394-475c-b097-3ef04687b5d3|
temp29-3||129.128.29.203||||||||||||temp||||5||1cb888e9-3fd7-49d6-b9fa-90e3f5aa6692|
temp29-4||129.128.29.204||||||||||||temp||||5||1fa4c41c-bacc-4dc0-8adf-13ea7512a6d3|
temp29-5||129.128.29.205||||||||||||temp||||5||1b217e9a-c618-4f95-92d5-d7ad818218b7|
temp29-6||129.128.29.206||||||||||||temp||||5||9e2a16f3-1b1a-4395-9b41-95dc59bc395f|
temp29-7|daysland|129.128.29.207|||virtual|johnb||||||||temp||||5||0a6502fe-61a3-4a4d-8455-2d4fd1cfb640|ugrad image
temp29-8||129.128.29.208||||||||||||temp||||5||f9866e07-535e-49a1-b84c-b2a835fbe7dd|
temp29-9||129.128.29.209||||||||||||temp||||5||57e7acef-72e5-4a0a-846a-cbb214549b36|
temp41-0|irricana|129.128.41.200|||virtual|jmartin||||||||temp||||5||0abe4c14-8843-46bd-bb8a-7498f0a4d31c|OpenBSD 5.4
temp41-1|czar|129.128.41.201|||virtual|johnb||||||||temp||||5||8b58d7f6-36c9-4870-aa74-2c0c1fcc3815|WPS single partition MSB
temp41-2|czar|129.128.41.202|||virtual|johnb||||||||temp||||5||402112de-33e5-4c5b-80d6-ae94fd07580c|WPS single partition
temp41-3||129.128.41.203||||||||||||temp||||||a990aac0-cc0c-49bc-bbd9-82ffffae44cf|
temp41-4|czar|129.128.41.204|||virtual|johnb||||||||temp||||5||46dcf7f7-e96f-4a60-a38e-80f6f919c72c|Ubuntu 14.04 development
temp41-5|ATH220|129.128.41.205|Linux|Ubuntu 14.04|regular|johnb||||||||temp||||5||a2cbc45c-03e6-430e-a5f0-24fcc0a0b43c|CMPUT 412 spare machine test
temp41-6||129.128.41.206||||||||||||temp||||5||589029e5-0030-4b33-810a-a26782f9384d|
temp41-7||129.128.41.207||||||||||||temp||||||0979231f-2e02-4de2-a908-cddeaf83bab3|
temp41-8|czar|129.128.41.208|Linux|Ubuntu 14.04|virtual|johnb|tst||||||CLEAN|temp||||5||db6bfaed-8fcf-4b27-a3b6-bac9334b75de|testing cloning 
temp41-9|czar|129.128.41.209|Linux|openSUSE 13.1|virtual|jmartin|||||||CLEAN|temp||||||05ae4599-32dc-4a74-ae18-12d6a6fc581f|openSUSE 13.1 template
temp184-0|CSC231|129.128.184.200|Linux|RHEL Server 5.6|regular|rod|||||||CLEAN|missing|||B|5||1f39d3b8-c75b-45ab-9c25-cc71d25efc07|in process of being wiped for return to Paul Lu (botha-c16)
temp184-1||129.128.184.201||||||||||||temp||||5||384fa208-b7ad-4c54-b027-287956716aff|
temp184-2||129.128.184.202||||bmw||||||||temp||||5||16dfaf75-9971-4cf3-bf4a-113a0ea04b3b|PXE Testing
temp184-3||129.128.184.203||||||||||||temp||||5||dcd671d4-7929-471e-afdc-972b9386382c|
temp184-4||129.128.184.204||||||||||||temp||||5||1b161830-3cc6-4275-a950-82e452ebb366|
temp184-5||129.128.184.205||||||||||||temp||||5||ab3a9dfb-1a55-4bf8-bf4a-7919a975b078|
temp184-6||129.128.184.206||||||||||||temp||||5||52a50b8d-0343-43fd-9051-60804849ef80|
temp184-7||129.128.184.207||||||||||||temp||||5||b58da614-4d3f-429b-95f8-e30bfd60f7dc|
temp184-8||129.128.184.208||||||||||||temp||||5||cd97cf75-11db-4e4b-a0d2-1f869aaafe26|
temp184-9||129.128.184.209||||||||||||temp||||5||863a0425-9c8b-403b-b6fd-73a2666bb0f5|
theano|ATH452||Windows|10|regular|stroulia|stroulia||Core i7 2600, 16 GB RAM||3GYY1R1||CLEAN|active|OK|||5||b914e1a8-631e-44ed-999c-386f9aa5b9bd|On NAT
theia|CSC353|129.128.25.134|Linux|Ubuntu 14|regular||karteek,martin||E8400/8184||||CLEAN|active||||5||e86b6b48-5afa-4447-9114-6eb31c1508a0|
therien|ATH301|129.128.4.52|MacOS|10.11.6|regular|hayward|hayward|524173|iMac24 Core2/2.8-2048||W87350Y3ZCT||CLEAN|active|OK|||5||9a122fab-99af-4184-986c-43af75081a18|
thickwood|CSC351|129.128.25.15|Windows|7|regular||mpolak,zhang||Dell XPS 8500 i7-3770 3.4GHz-16GB||71RY5V1||CLEAN|active|OK|||5||be401691-4fcf-4eb2-b570-efcd310e8b59|
thorhild|CSC217|129.128.23.153|Linux|WPS Ubuntu 16.04|regular||hayward|510085|i5-6400-24576||ASC05984||CLEAN|active||||5||f8befaec-61a7-461e-8f9a-a480d4419252|new machine old case
thorsby|CSC217|129.128.23.200|Linux|WPS Ubuntu 16.04|regular||hayward|no-tag|i7/920-8192||350K6J1||CLEAN|active||||5||96d6013c-95b5-4e17-9b3d-9e20218a5cce|
tofield|CSC217|129.128.23.132|Linux|WPS Ubuntu 16.04|regular||hayward|512198|i5-6400-24576||ASC05805||CLEAN|active||||5||b14aa945-3592-4fbe-8275-9f71054296f7|new machine old case
torrington|CSC217|129.128.23.28|Linux|WPS Ubuntu 16.04|regular||hayward|no-tag|i7-860/2.8GHz-8192||7BM7HK1||CLEAN|active||||5||1db90d89-0600-44f4-ba1c-5ffb5be3a5eb|
tove|CSC305|129.128.184.28|OpenBSD|unknown|regular|sutton|rshariff||||||NOP|active||||5||070be456-b308-4cce-8fef-b28528a6c228|NAT gateway to local robot wireless network SSID critterbot
trochu|CSC217|129.128.23.88|MacOS|10.6.3|regular||hayward|549648|iMac/Core2:3.1GHZ-4096||W8016FHZ5PC||CLEAN|active|OK|||5||52fd0c1d-2e0f-4829-bb95-49de1909d475|
tulliby|CSC217|129.128.23.228|MacOS|10.6.3|regular||hayward|549649|iMac/Core2:3.1GHZ-4096||W8016FGE5PC||CLEAN|active|OK|||5||76be5c89-cead-4b52-863b-3235582f548a|Inventory tag appears to be incorrect.
u16-gold|czar|129.128.243.71|||virtual|johnb||||||||active||||5||6e8b625f-7419-4d37-9b4e-584af1705740|Ubuntu 16.04 development
u16-rch-test|czar|129.128.21.254|Linux|WPS Ubuntu 16.04|virtual|johnb|||||||CLEAN|active|OK|||5||b5fe5c7f-7332-4ae1-9a2c-8569363a74db|Ubuntu 16.04 research domain testing
ua01|CSC218|129.128.29.1|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745||2H6TPC1||CLEAN|retired||||5|WPS|0e2eca49-4bdd-40c7-8bc8-1cf6538ad9fa|UGrad
ua02|CSC220|129.128.29.2|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745||FD6TPC1||CLEAN|retired||||5|WPS|8b78cf1d-7fb5-4860-9c9b-91a33692eae8|UGrad
ua03|CSC220|129.128.29.3|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745||JH6TPC1||CLEAN|retired||||5|WPS|5139d7bd-c14f-4476-814f-e369bae9484a|UGrad
ua04|CSC220|129.128.29.4|Linux|WPS Ubuntu 16.04|regular|dept|tst||Dell OptiPlex 745||2X7TPC1||CLEAN|retired||||5|WPS|0cf39364-a49a-4f37-89df-564b0132f421|UGrad
